list_id,subject,price_string,price,region_name,phone,is_sticky
127784644,"Căn 2pn2wc cc Prosper, nhà sạch mới,sổ hồng đủ, hỗ trợ bank","3,1 tỷ",3100000000,Tp Hồ Chí Minh,,Thường
130117293,chính chủ bán căn hộ 2 phòng ngủ căn hoa hậu thiện trí,"7,7 tỷ",7700000000,Hà Nội,,Thường
130121973,CĂN HỘ 3 NGỦ SIÊU PHẨM - 17T15 TRUNG HOÀ: 116M2 FULL NỘI THẤT XỊN,"11,88 tỷ",11880000000,Hà Nội,,Thường
129872222,cần bán căn hộ terra mia Phạm Hùng gần quận 7 68m2 2 PN 2 Wc 3ty6,"3,6 tỷ",3600000000,Tp Hồ Chí Minh,,Thường
130159659,"Cần bán chung cư Lotus Garden 3 phòng ngủ giá 3,58 Tỷ có sổ giá tốt","3,58 tỷ",3580000000,Tp Hồ Chí Minh,,Thường
129434739,"Bán căn hộ chung cư  Bông sao Phường 5, Q8.","3,2 tỷ",3200000000,Tp Hồ Chí Minh,,Thường
114780020,"4.45TỶ 2PN, 3.4TỶ 1PN, LAVITA CHARM TRỤC CĂN VIEW METRO THOÁNG MÁT","4,45 tỷ",4450000000,Tp Hồ Chí Minh,,Thường
128930561,"Cần bán lại Căn hộ 3PN, Nội thất đâỳ đủ chỉ cần vào ở. LH Xem nhà.","3,09 tỷ",3090000000,Tp Hồ Chí Minh,,Thường
130159562,Bán căn kingston 80m2 - 2pn2wc - sổ hồng,9 tỷ,9000000000,Tp Hồ Chí Minh,,Thường
130159545,Glory Heights – Tâm Điểm Sống Cao Cấp Tại Vinhomes Grand Park,"5,324 tỷ",5324000000,Tp Hồ Chí Minh,,Thường
129480493,Sỡ hữu ngay căn hộ cao cấp chỉ với 950tr /căn,950 triệu,950000000,Tp Hồ Chí Minh,,Thường
130159482,"SUNRISE CITY (3PN - 8 tỷ) (2PN - 6.6 tỷ) (130 m2, 10 tỷ) (147m2, 14TỶ","4,9 tỷ",4900000000,Tp Hồ Chí Minh,,Thường
130159335,CĂN CHUNG CƯ TỈNH LỘ 10 GIÁ 1TỶ3 -50M2 2PN,"1,3 tỷ",1300000000,Tp Hồ Chí Minh,,Thường
130090506,"Bán gấp chung cư Miếu Nổi, 63m2(2PN), lầu cao view thoáng mát.","3,95 tỷ",3950000000,Tp Hồ Chí Minh,,Thường
130108260,"BẠCH ĐẰNG CH 53M2 - 2PN ,GẦN SÂN BAY ,Ở NGAY 100% ,SỔ HỒNG ,GÓP 5 NĂM","2,12 tỷ",2120000000,Tp Hồ Chí Minh,,Thường
130133310,"Bán căn 2PN view công viên, 89m2, Giá 8.9 tỷ, Vinhomes Central Park","8,9 tỷ",8900000000,Tp Hồ Chí Minh,,Thường
128207214,Căn Hộ 2PN- 2WC MT -1TỶ5XX -Trả Trước 20% Nhận Nhà - Vay 0 lãi 2 năm,"1,594 tỷ",1594000000,Tp Hồ Chí Minh,,Thường
130159385,Bán 63m2 2pn2wc giá 2.4ty CC green Town Bình Tân,"2,4 tỷ",2400000000,Tp Hồ Chí Minh,,Thường
130159302,BÁN CĂN HỘ SÂN VƯỜN VINHOMES GRAND PARK Q9 ĐƯỜNG NGUYỄN XIỂN LONG BÌNH,6 tỷ,6000000000,Tp Hồ Chí Minh,,Thường
129555862,CTL 3 phòng ngủ dt87m2 giá bán 4.1 tỷ,"4,1 tỷ",4100000000,Tp Hồ Chí Minh,,Thường
